title;start;slurmConfig;cm_magicc_config;cm_magicc_temperatureImpulseResponse;cm_damages_BurkeLike_persistenceTime;cm_wasteIncinerationCCSshare;cm_EDGEtr_scen;cm_reducCostB;.CDR;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;carbonpriceRegi;cm_netZeroScen;cm_co2_tax_2020;cm_peakBudgYr;c_taxCO2inc_after_peakBudgYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_co2_tax_growth;cm_maxProdBiolc;techpol;cm_multigasscen;cm_startyear;path_gdx_carbonprice;path_gdx;path_gdx_ref;path_gdx_bau;description
SSP2-Base;0;5;RCP26_50;off;15;;Mix1;none;off;none;0;off;0;none;none;;-1;2100;3;1;;;1.05;off;none;2;2005;;;;;SSP2-Base_bIT: This baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. Industry sectors are modeled explicitly with individual CES nests for cement, chemicals, steel, and other production. The transport model EDGE-T with detailed modes/vehicles representation is used. A simple buildings model represents demand in terms of energy carriers. No Damages from climate change are considered.
ELV_CurPol_T44;1;5;RCP26_50;off;30;;Mix3;none;off;rcp45;3;off;0;NPi;none;;1;2100;3;9;;;1.05;100;NPi2018;3;2005;;;;;ELV_CurPol_T44: The Current Policies scenarios describe energy, climate and economic projections for the period until 2030. In the default setting carbon prices converges after 2030 over all regions to $25 eoc.
ELV-SSP2-CP-D0;1;5;RCP26_50;off;30;;Mix3;none;off;rcp45;3;off;0;NPiexpo;none;;1;2100;3;9;;;1;100;NPi2018;3;2035;;ELV_CurPol_T44;ELV_CurPol_T44;;ELV-SSP2-CP-D0: The Current Policies scenarios describe energy, climate and economic projections for the period until 2030. After 2030 each region keeps the carbon price constant.
ELV-SSP2-CP-D1;1;5;RCP26_50;off;30;;Mix3;none;off;rcp45;3;off;0;NPiexpo;none;;1;2100;3;9;;;1.01;100;NPi2018;3;2035;;ELV_CurPol_T44;ELV_CurPol_T44;;ELV-SSP2-CP-D1: The Current Policies scenarios describe energy, climate and economic projections for the period until 2030. After 2030 each region increases their carbon price by 1%.
ELV-SSP2-CP-D3;1;5;RCP26_50;off;30;;Mix3;none;off;rcp45;3;off;0;NPiexpo;none;;1;2100;3;9;;;1.03;100;NPi2018;3;2035;;ELV_CurPol_T44;ELV_CurPol_T44;;ELV-SSP2-CP-D3: The Current Policies scenarios describe energy, climate and economic projections for the period until 2030. After 2030 each region increases their carbon price by 3%.
ELV_NDC2030_T44;1;5;RCP26_50;off;30;;Mix3;none;off;rcp45;3;globallyOptimal;0;NDC;none;;1;2100;3;9;;;1.05;100;NDC;3;2025;;;ELV_CurPol_T44;ELV_CurPol_T44;ELV_NDC2030_T44: The NDCs scenario aims to represent the goals of each country or region defined in their NDCs. The ambition levels reached in the target year remains at least constant throughout the rest of the century.
ELV-SSP2-NDC-D0;1;5;RCP26_50;off;30;;Mix3;none;off;rcp45;3;globallyOptimal;0;NPiexpo;none;;1;2100;3;9;;;1;100;NDC;3;2035;;ELV_NDC2030_T44;ELV_NDC2030_T44;;ELV-SSP2-NDC-D0: The NDCs scenario aims to represent the goals of each country or region defined in their NDCs. The ambition levels reached in the target year remains constant throughout the rest of the century.
ELV-SSP2-NDC-D1;1;5;RCP26_50;off;30;;Mix3;none;off;rcp45;3;globallyOptimal;0;NPiexpo;none;;1;2100;3;9;;;1.01;100;NDC;3;2035;;ELV_NDC2030_T44;ELV_NDC2030_T44;;ELV-SSP2-NDC-D1: The NDCs scenario aims to represent the goals of each country or region defined in their NDCs. The ambition levels reached in the target year increases by 1%.
ELV-SSP2-NDC-D3;1;5;RCP26_50;off;30;;Mix3;none;off;rcp45;3;globallyOptimal;0;NPiexpo;none;;1;2100;3;9;;;1.03;100;NDC;3;2035;;ELV_NDC2030_T44;ELV_NDC2030_T44;;ELV-SSP2-NDC-D3: The NDCs scenario aims to represent the goals of each country or region defined in their NDCs. The ambition levels reached in the target year increases by 3%.
ELV-SSP2-LTS;1;5;RCP26_50;off;30;2050.GLO 0.5;Mix3;none;off;rcp26;3;globallyOptimal;0;NDC;netZero;ELEVATE2p3;1;2100;3;9;;;1.05;100;NDC;3;2025;;;ELV_NDC2030_T44;ELV_CurPol_T44;ELV_LTS_T44: High uncoordinated ambition (named as Glasgow in the ENGAGE 4.5 runs. The Glasgow scenario considers the NDC pledges and the mid-century strategy pledges (net-zero) announced at COP26 in Glasgow.)
